publication_number,title,applicants_original,inventors_original,priority_date,publication_date,publication_year
US-11902374-B2,Dynamic vehicle data extraction service ,"Amazon Technologies, Inc.","Raghuram Onti Srinivasan, Shuxun Cao, Assimakis Tzamaloukas, Don Marcus Gillett",11/29/2021,2/13/2024,2024
US-2024294086-A1,Charging and power supply optimization method and apparatus for charging management system ,"Borg Warner New Energy (Xiangyang) Co., Ltd","Yuhong Sun, Fei Pan, Ke Dai, Yong Kang",1/12/2021,9/5/2024,2024
US-11590409-B2,Self-stabilizing skateboard ,"Future Motion, Inc.","Kyle Jonathan DOERKSEN, Beau Robertson, Phil Rullman, Ximena Prugue, Daniel Blachinsky",6/30/2021,2/28/2023,2023
US-11273364-B1,Self-stabilizing skateboard ,"Future Motion, Inc.","Kyle Jonathan DOERKSEN, Beau Robertson, Phil Rullman, Ximena Prugue, Daniel Blachinsky",6/30/2021,3/15/2022,2022
US-2021311129-A1,Methods and systems for accelerated determining of state of health using incremental capacity analysis ,Cummins Inc.,"Aleksey Yezerets, Guodong Fan",4/3/2020,10/7/2021,2021
US-2023377460-A1,Intelligent transport system service dissemination ,Intel Corporation,"Kathiravetpillai Sivanesan, Leonardo Gomes Baltar, Suman A. Sehra, Arvind Merwaday",5/4/2020,11/23/2023,2023
US-11769094-B2,System and method for real-time distributed micro-grid optimization using price signals ,Electricfish Energy Inc.,"Folasade Ayoola, Anurag Kamal, Nelio Batista do Nascimento, Vincent Curtis Wong",10/1/2020,9/26/2023,2023
US-2023159056-A1,Method and apparatus for planning obstacle avoidance path of traveling apparatus ,"Huawei Technologies Co., Ltd.","Siyuan CHENG, Chao Wang, Xinyu Wang",7/20/2020,5/25/2023,2023
US-10789846-B1,Available vehicle parking space dispatch ,Cdw Llc,"Colin R. Vallance, Michael Alan Robinson, Forrest Weinberg, Sankar Nair",3/19/2020,9/29/2020,2020
US-2022376313-A1,Intelligent vehicle battery charging for high capacity batteries ,"Ford Global Technologies, Llc","Xiaohong Duan, Yanan Zhao, Robert Taenaka",1/13/2020,11/24/2022,2022
US-2021241026-A1,"Single frame 4d detection using deep fusion of camera image, imaging radar and lidar point cloud ","Nio Usa, Inc.","Huazeng Deng, Ajaya H S Rao, Ashwath Aithal, Xu Chen, Ruoyu Tan, Veera Ganesh Yalla",2/4/2020,8/5/2021,2021
US-11893341-B2,Domain-specific language interpreter and interactive visual interface for rapid screening ,Quixotic Labs Inc.,Sara Itani,5/24/2020,2/6/2024,2024
US-2023206139-A1,Recommending charging station and determining state of charging pile ,"Beijing Baidu Netcom Science Technology Co., Ltd.",Xin Zhang,3/2/2022,6/29/2023,2023
US-11801867-B2,Vehicle control device and vehicle control method ,"Honda Motor Co., Ltd.","Yoshimitsu Murahashi, Takahiro Yoshida",3/30/2020,10/31/2023,2023
US-11198519-B1,Quiet urban air delivery system ,Brien Aven Seeley,Brien Aven Seeley,8/11/2020,12/14/2021,2021
US-11603776-B2,Energy storage system and applications ,"Rondo Energy, Inc.","John Setel O'Donnell, Peter Emery von Behrens, Chiaki Treynor, Jeremy Quentin Keller, Matthieu JONEMANN, Robert Ratz, Yusef Desjardins Ferhani",11/30/2020,3/14/2023,2023
US-12103560-B2,Methods and systems for predicting actions of an object by an autonomous vehicle to determine feasible paths through a conflicted area ,"Argo AI, LLC","Andrew T. Hartnett, Constantin Savtchenko, G. Peter K. Carr",10/1/2020,10/1/2024,2024
US-11180253-B1,System for fire suppression by autonomous air and ground vehicles ,Brien Aven Seeley,Brien Aven Seeley,3/24/2021,11/23/2021,2021
US-2021394930-A1,Expanding Floor/ Accordion drone docking station ,Daniel S. O'Toole,Daniel S. O'Toole,4/20/2020,12/23/2021,2021
US-11075934-B1,Hybrid network intrusion detection system for IoT attacks ,King Abdulaziz University,"Sahar Ahmed Aldhaheri, Daniyal Mohammed Alghazzawi",2/17/2021,7/27/2021,2021
US-2022055770-A1,Hot and Cold Section drone docking station Temperature Controlled Device ,Daniel S. O'Toole,Daniel S. O'Toole,4/20/2020,2/24/2022,2022
US-12158507-B2,Methods and systems for on demand in-situ leakage current testing ,"Element Energy, Inc.","Rainer Johannes Fasching, Georgy Zerkalov, Arnaud Devie, Seth Marshall Kahn, Anthony John Stratakos, Corrado Cammi, Anderson Rennie John, Yoosok SAW",8/18/2020,12/3/2024,2024
US-12045738-B2,Transportation operator collaboration system ,Intel Corporation,"Dario Sabella, Miltiadis Filippou, Leonardo Gomes Baltar",12/23/2020,7/23/2024,2024
US-2022204010-A1,Method and apparatus for automated driving ,"Beijing Baidu Netcom Science And Technology Co., Ltd.","Houqiang ZHU, Pengfei WEI, Jia SONG, Shuyi Chen",12/24/2020,6/30/2022,2022
US-2022121389-A1,Controlling firmware storage density based on temperature detection ,"Micron Technology, Inc.",Junichi Sato,2/5/2020,4/21/2022,2022
US-11399065-B1,"Apparatus, system, method, and computer program product for scaling and managing electric power systems ","Vybe Energy, Llc","Nisha Thirumurthy, Gabriel Kiblin",1/6/2020,7/26/2022,2022
US-2021356153-A1,Building system with flexible facility operation ,Johnson Controls Technology Company,"Clay G. Nesler, Jonathan Douglas, Kirk H. Drees, Bernard P. Clement, Joseph Pustai, JR.",5/12/2020,11/18/2021,2021
US-12128827-B2,Vehicular interior rearview mirror assembly ,"Magna Mirrors Of America, Inc.","Gregory A. Huizen, Justin E. Sobecki, Austen C. Peterson, Ian A. McCabe, Rodney K. Blank, Niall R. Lynam",3/1/2021,10/29/2024,2024
US-2021264794-A1,Cooperative adaptive cruise control (cacc) system for control of connected and autonomous vehicle (cav) platoons ,Intel Corporation,"Arvind Merwaday, Leonardo Gomes Baltar, Kathiravetpillai Sivanesan, May Wu, Suman A. Sehra",5/3/2021,8/26/2021,2021
US-2023280295-A1,Methods and systems for in-situ impedance spectroscopy analysis of battery cells in multi-cell battery packs ,"Element Energy, Inc.","Rainer Johannes Fasching, Georgy Zerkalov, Arnaud Devie, Seth Marshall Kahn, Anthony John Stratakos, Corrado Cammi, Anderson Rennie John, Yoosok SAW",8/18/2020,9/7/2023,2023
US-2022292711-A1,"Pose estimation method and device, related equipment and storage medium ","Beijing Tusen Zhitu Technology Co., Ltd.","Liangliang Pan, Ji Zhao",3/10/2021,9/15/2022,2022
US-11852751-B2,"Method, apparatus, computing device and computer-readable storage medium for positioning ","Beijing Baidu Netcom Science And Technology Co., Ltd.","Shenhua HOU, Wendong DING, Hang Gao, Guowei WAN, Shiyu Song",3/2/2020,12/26/2023,2023
US-11725944-B2,"Method, apparatus, computing device and computer-readable storage medium for positioning ","Apollo Intelligent Driving Technology (Beijing) Co, Ltd.","Shenhua HOU, Wendong DING, Hang Gao, Guowei WAN, Shiyu Song",3/2/2020,8/15/2023,2023
US-2022292971-A1,"Electronic apparatus, control method of electronic apparatus, computer program, and computer-readable recording medium ",Jioh Park,Jioh Park,3/14/2021,9/15/2022,2022
US-2024203099-A1,Artificial intelligence device and 3d agency generating method thereof ,Lg Electronics Inc.,"Taeju Hwang, Jongjin Park, Yubin YOON, Taehwan HWANG, Hyoyoung KIM",12/15/2022,6/20/2024,2024
US-2024375635-A1,Method and control system for performance-optimized control of an electric vehicle powertrain ,"Hyundai Motor Company, Kia Corporation","Giulia Ludovici, Burak Ulas, Ciprian Antaloae",5/10/2023,11/14/2024,2024
US-2024203013-A1,Artificial intelligence device and 3d agency motion controlling method thereof ,Lg Electronics Inc.,"Taeju Hwang, Jongjin Park, Yubin YOON, Taehwan HWANG, Hyoyoung KIM",12/16/2022,6/20/2024,2024
US-2025033569-A1,Height detection method ,Volvo Car Corporation,Fredrik Heurlin,7/28/2023,1/30/2025,2025
US-12210990-B2,Rental vehicle system optimization ,Volvo Car Corporation,"Mikael Löthman, Henrik Stråth",3/17/2021,1/28/2025,2025
US-2024290119-A1,Artificial intelligence device for harvesting data from unlabeled sources and control method thereof ,Lg Electronics Inc.,"Homa Fashandi, Sen Jia",2/10/2023,8/29/2024,2024
US-12033508-B2,"Image capturing apparatus of vehicle, server, user terminal apparatus and method for providing parking lot guidance service using them ",Thinkware Corporation,"Jae Young Kim, Seung Yo Jang, Jae Cheol Han, Tae Kyu HAN",10/8/2020,7/9/2024,2024
US-2022363328-A1,Muliti-modular all electric vehicle system ,Voltorx Motors Inc,"Alfred X. Xin, Sherry X. Sun",5/12/2021,11/17/2022,2022
US-2024193667-A1,Artificial intelligence device for multi-modal recommender and control method thereof ,Lg Electronics Inc.,"Ali PESARANGHADER, Touqir SAJED",12/9/2022,6/13/2024,2024
US-2024001735-A1,"Control system for artificial intelligence-based vehicle integrated thermal management system, and method of controlling same ",Hanon Systems,"Joong Jae Kim, Jeong Hoon Lee, Wonshick KO",1/13/2021,1/4/2024,2024
US-2024347065-A1,Artificial intelligence device for robust multimodal encoder for person representations and control method thereof ,Lg Electronics Inc.,"Anith Selvakumarasingam, Homa Fashandi",4/13/2023,10/17/2024,2024
US-2025022200-A1,Artificial intelligence device for a digitial avatar with 3d interation capabilities and control method thereof ,Lg Electronics Inc.,"Jinmiao Huang, Prashant RAINA, Felix TAUBNER, Mathieu TULI, Eu Wern TEH, Kevin FERREIRA, Xiaoyu Yang",7/13/2023,1/16/2025,2025
US-2024242029-A1,Artificial intelligence device for common sense reasoning for visual question answering and control method thereof ,Lg Electronics Inc.,"Manasa BHARADWAJ, Homa Fashandi",1/18/2023,7/18/2024,2024
US-2024242079-A1,Artificial intelligence device for a neural module network and control method thereof ,Lg Electronics Inc.,"Homa Fashandi, Manasa BHARADWAJ",1/18/2023,7/18/2024,2024
US-2023230320-A1,Artificial intelligence device and operating method thereof ,Lg Electronics Inc.,"Youngjoo Cho, Sookhyun Yang",1/17/2022,7/20/2023,2023
US-2024346814-A1,Artificial intelligence device for attention over detection based object selection and control method thereof ,Lg Electronics Inc.,"Manasa BHARADWAJ, Homa Fashandi",4/13/2023,10/17/2024,2024
US-2023192063-A1,Integrated power system and method for energy management for electric vehicle ,"Sustainable Energy Technologies, Inc.",John Cronin,12/3/2021,6/22/2023,2023
US-2022255100-A1,"Look ahead energy management and control systems and methods to improve fuel cell system performance, durability, and life ",Cummins Inc.,"Avinash VALLUR RAJENDRAN, Archit N. Koti, Guangji Ji, Loren G. DeVries, Charles VESELY, Vivek Anand Sujan, Elizabeth Weitzel, Patrick Kaufman",2/10/2021,8/11/2022,2022
US-11250869-B2,Audio zoom based on speaker detection using lip reading ,Lg Electronics Inc.,"Jichan MAENG, Jonghoon CHAE",4/16/2020,2/15/2022,2022
US-11703186-B2,"Safe transportation system operations including fueling, transfer and charging ",Daniel McNicholas,Daniel McNicholas,6/1/2020,7/18/2023,2023
US-2024211482-A1,Artificial intelligence device for entity linking and knowledge base question and answering and control method thereof ,Lg Electronics Inc.,"Manasa BHARADWAJ, Yipeng Ji, Yolanda Liu, Borislav MAVRIN, Touqir SAJED, Ali PESARANGHADER",12/22/2022,6/27/2024,2024
